ausg_beityp,ausg_emp,ausg_degr,ausg_hoefl,ausg_ehrl,ausg_posemo,ausg_negemo,ausg_humor,ausg_frage,ausg_korr,ausg_zus,ausg_meta,ausg_mod
11,0,0,0,0,13,0,0,13,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
 ,0,0,0,0,0,0,0,0,2,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
222,0,0,0,0,0,14,0,0,2,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
20,0,0,0,0,0,0,1,13,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,1,0,0,12,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0
222,1,0,1,0,0,0,0,0,2,0,0,0
222,0,3,0,0,0,11,0,12,2,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
222,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
212,0,3,0,0,0,0,0,13,0,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
222,0,1,0,0,0,11,0,0,2,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,2,0,0,0
11,0,0,0,0,13,0,0,13,0,0,0,0
